,source,author,title,description,url,urlToImage,publishedAt,content
75,"{'id': 'associated-press', 'name': 'Associated Press'}",JOSHUA GOODMAN,APNewsBreak: Informant in top Venezuela case lied to feds,"MEDELLIN, Colombia (AP) — A key informant against one of Venezuelan President Nicolás Maduro’s closest aides has been accused of lying to his law enforcement handlers in a case involving millions...",https://apnews.com/98ccff732f6f568d6c798cb50a554792,,2020-09-26T15:42:50Z,
76,"{'id': 'cbs-news', 'name': 'CBS News'}",CBS News,"Navy documents reveal officer flagged ""dangerous condition"" before deadliest submarine disaster in U.S. history","Year after USS Thresher was lost in 1963, CBS News' Dan Rather reported: ""All the events of that morning may never be known.""",https://www.cbsnews.com/news/uss-thresher-submarine-disaster-navy-documents-released/,https://cbsnews1.cbsistatic.com/hub/i/r/2020/09/26/13f44c1e-eb13-4a96-b671-820562c99db9/thumbnail/1200x630/7e82501050ee4037a3bd19378ffd0c76/gettyimages-50789155-1.jpg,2020-09-26T15:38:58+00:00,"The Navy began releasing documents from the investigation into the deadliest submarine disaster in U.S. history this week, revealing that the ship's commanding officer noted a ""dangerous condition"" o… [+5561 chars]"
77,"{'id': 'ign', 'name': 'IGN'}",Diamond Feit,"Hyrule Warriors: Age of Calamity - Breath of the Wild Bonus Item, Special Editions Revealed - IGN",Hyrule Warriors: Age of Calamity will offer a bonus weapon for having Zelda: Breath of the Wild save data on your Switch.,https://www.ign.com/articles/hyrule-warriors-age-of-calamity-breath-of-the-wild-bonus-item-special-editions-revealed,https://assets1.ignimgs.com/2020/09/26/ei2rrybxkaawlhp-1601134333148.jpg?width=1280,2020-09-26T15:38:43Z,"After revealing live gameplay footage of the upcoming Hyrule Warriors: Age of Calamity for Nintendo Switch, Koei Tecmo producer Yosuke Hayashi, director Ryota Matsushita and producer Masaki Furusawa … [+1914 chars]"
78,"{'id': 'abc-news', 'name': 'ABC News'}",MSTYSLAV CHERNOV and FRANK JORDANS Associated Press,Hundreds of anti-coal campaigners protest at German mine,,https://abcnews.go.com/International/wireStory/hundreds-anti-coal-protesters-break-german-mine-73258763,https://s.abcnews.com/images/International/WireAP_ce645f753f07484f8072db935af61b22_16x9_992.jpg,2020-09-26T15:37:59Z,"LUETZERATH, Germany -- Hundreds of anti-coal activists staged protesters in and around a mine in western Germany on Saturday, demonstrating against the continued extraction and use of fossil fuels in… [+1589 chars]"
79,"{'id': 'buzzfeed', 'name': 'Buzzfeed'}","[{""@type"":""Person"",""name"":""Sarah Aspler"",""url"":""https://www.buzzfeed.com/sarahaspler"",""jobTitle"":""BuzzFeed Staff, Canada""}]",The Majority Of Millennials Prefer These Normal Foods Over These Trendy Foods — Do You?,Noodles or zoodles? You decide.,https://www.buzzfeed.com/sarahaspler/trendy-or-normal-foods-poll,"https://img.buzzfeed.com/buzzfeed-static/static/2020-09/16/16/enhanced/e44f1467fc5a/original-10731-1600272144-2.jpg?crop=1244:651;0,65%26downsize=1250:*",2020-09-26T15:37:39.718296Z,Noodles or zoodles? You decide.
80,"{'id': 'cbs-news', 'name': 'CBS News'}",CBS News,"Preview: CBSN Originals presents ""Speaking Frankly | Symbolic Justice""",This CBSN Originals documentary explores whether ridding America of racist and outdated monuments and mascots plays an important role in righting past wrongs – or distracts from the fight for truly transformative justice. Watch the full story at cbsnews.com/s…,https://www.cbsnews.com/video/preview-cbsn-originals-presents-speaking-frankly-symbolic-justice/,https://cbsnews1.cbsistatic.com/hub/i/r/2020/09/26/b20229c9-333e-40e9-b58d-fb96215698a0/thumbnail/1200x630/266c905e21e87fde903a2a8c31c9f11d/cbsnoriginal-streaming-554809-640x360.jpg,2020-09-26T15:37:39+00:00,"Watch CBSN Live
Copyright © 2020 CBS Interactive Inc. All rights reserved."
81,"{'id': 'buzzfeed', 'name': 'Buzzfeed'}","[{""@type"":""Person"",""name"":""Hannah Loewentheil"",""url"":""https://www.buzzfeed.com/hannahloewentheil"",""jobTitle"":""BuzzFeed Staff""}]","16 Low-Key Genius Hacks, Tips, And Tricks For The Next Time You Make Lunch","These are cheap, fast, filling — and pretty impossible to mess up.",https://www.buzzfeed.com/hannahloewentheil/easy-lunch-ideas-at-home,"https://img.buzzfeed.com/buzzfeed-static/static/2020-09/15/15/enhanced/0d00c66f0935/original-8706-1600182243-43.jpg?crop=3809:2000;0,0%26downsize=1250:*",2020-09-26T15:37:22.2226499Z,
82,"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Charlie Hebdo: Stabbings suspect 'was trying to target magazine',Two people were seriously injured in the attack near the Paris ex-offices of the satirical magazine.,http://www.bbc.co.uk/news/world-europe-54307820,https://ichef.bbci.co.uk/news/1024/branded_news/8D6B/production/_114630263_hi063515218-1.jpg,2020-09-26T15:37:21.7071525Z,
83,"{'id': 'breitbart-news', 'name': 'Breitbart News'}",Hannah Bleau,U.S. Attorney for District of Oregon Issues Warning Ahead of Protests,"Billy J. Williams, U.S. Attorney for the District of Oregon, issued a warning ahead of expected protests in Portland this weekend.",http://www.breitbart.com/politics/2020/09/26/u-s-attorney-district-oregon-warns-protesters-there-will-be-consequences-acts-violence/,https://media.breitbart.com/media/2020/07/portland-riot-burning-trash-fire-getty-640x335.jpg,2020-09-26T15:34:01Z,"Billy J. Williams, U.S. Attorney for the District of Oregon, issued a statement ahead of what is expected to be a weekend of clashing protests in Portland, vowing that “there will be consequences for… [+2768 chars]"
84,"{'id': 'google-news-ca', 'name': 'Google News (Canada)'}",,"Ontario reports 435 new COVID-19 cases, sets new record of 43,238 tests processed in single day | CBC News","Ontario reported 435 new COVID-19 cases on Saturday, with the province having processed 43,238 tests on Saturday, a new record for a single day.",https://www.cbc.ca/news/canada/toronto/ontario-september-26-covid19-omnibus-1.5740377,https://i.cbc.ca/1.5740380.1601131944!/cumulusImage/httpImage/image.jpg_gen/derivatives/16x9_620/covid-testing-lines.jpg,2020-09-26T15:33:00+00:00,"Ontario reported 435 new COVID-19 cases on Saturday, with the province having processed 43,238 tests on Friday, a new record for a single day.
The majority of newly confirmed infections of the novel… [+3048 chars]"
