,title,OP,desc,date,url
83,Georgia Deputy Fired After Black Man Beaten In Traffic Stop Video,0.9407276,"Roderick Walker, a passenger in the vehicle, was repeatedly punched in the head after he failed to provide ID to deputies, his attorney said.",2020-09-14T17:20:40Z,https://www.huffpost.com/entry/georgia-deputy-fired-roderick-walker-arrest_n_5f5f63a4c5b6b485080334c6
36,"What engineers, data scientists, business analysts make at LinkedIn - Business Insider",0.9796432,"Engineers can make up to $317,500, and business analysts can make as much as $156,000, according to Business Insider's salary analysis.",2020-09-14T18:02:14Z,http://www.businessinsider.com/how-much-engineers-data-scientists-business-analysts-make-at-linkedin-2020-9
72,'A world in disorder': Pandemic preparedness panel slams collective failure to heed warnings,0.99017143,"A collective failure by political leaders to heed warnings and prepare for an infectious disease pandemic has transformed ""a world at risk"" to a ""world in disorder"", according to a report on international epidemic preparedness.",2020-09-14T17:32:25+00:00,https://www.news24.com/news24/World/News/a-world-in-disorder-pandemic-preparedness-panel-slams-collective-failure-to-heed-warnings-20200914
77,Charlotte Mulhall takes court action over move to Limerick Prison,0.9901387,Convicted murderer says transfer after alleged incident with prison officer caused great stress,2020-09-14T17:24:02Z,https://www.irishtimes.com/							/news/crime-and-law/courts/high-court/charlotte-mulhall-takes-court-action-over-move-to-limerick-prison-1.4354715	
87,Centre opposes plea seeking recognition of same-sex marriages,0.9871731,"2018 judgment of Supreme Court “merely decriminalises homosexuality or lesbianism”, it tells Delhi High Court",2020-09-14T17:15:58Z,https://www.thehindu.com/news/national/centre-opposes-plea-seeking-recognition-of-same-sex-marriages/article32603987.ece
75,Watch Live: Joe Biden to deliver remarks on wildfires,0.9957478,"Joe Biden is speaking from Wilmington, Del., on Monday about the wildfires in California, Oregon and Washington.The event starts at 12:45 p.m. EDT. Watch the live video above.",2020-09-14T17:30:02Z,http://thehill.com/video/in-the-news/516321-watch-live-joe-biden-speaks-about-climate-change-and-fires-in-california
66,What happens if Trump loses but refuses to concede?,0.9979268,"News, analysis and comment from the Financial Times, the worldʼs leading global business publication",2020-09-14T17:37:20.5635347Z,https://www.ft.com/content/c8767e22-a727-4a23-90bf-8d2844ca257a
47,CNN’s Jake Tapper pestered GOP candidate Sean Parnell for statement dismissing scandalous DM: source,0.9991827,"CNN’s Jake Tapper has been pestering Republican congressional candidate Sean Parnell to issue a joint statement, as the “State of the Union” anchor tries to clean up the mess he created by attempting to talk him out of running for a Western Pennsylvania House…",2020-09-14T17:52:16.8127953Z,https://www.foxnews.com/media/cnn-jake-tapper-sean-parnell-dm-scandal
56,Facebook launches a climate change information center and commits to eliminating 'scope 3' emissions by 2030,0.92876357,"Even as Facebook, the world’s largest social media platform, admits that climate change “is real” and that “the science is unambiguous and the need to act grows more urgent by the day” the platform appears unwilling to take steps to really stand up to the cli…",2020-09-14T17:46:52Z,https://techcrunch.com/2020/09/14/facebook-launches-a-climate-change-information-center-and-commits-to-eliminating-scope-3-emissions-by-2030/
10,Ford says further lockdowns possible if COVID-19 cases continue to rise in Ontario,0.9477509,The Ontario Premier says he believes a second wave is coming and the province will introduce a fall plan to address the coronavirus in the coming days,2020-09-14T18:32:25Z,https://www.theglobeandmail.com/canada/article-ford-says-further-lockdowns-possible-if-covid-19-cases-continue-to/
60,LEGO Nintendo Entertainment System NES Is Up at Amazon - IGN,0.9949434,"This 2,646-piece set is now available for preorder.",2020-09-14T17:40:41Z,https://www.ign.com/articles/lego-nintendo-entertainment-system-nes-is-now-available
tps://techcrunch.com/2020/09/14/bumble-will-exist-as-long-as-women-do-ceo-says/
98,"Biden campaign readies massive legal team for voting, election issues",0.99902225,Joe Biden's campaign has assembled an extensive legal team to focus on voting and election issues.,2020-09-14T17:04:28Z,http://us.cnn.com/2020/09/14/politics/biden-election-voting/index.html
48,Trump administration to review Oracle’s TikTok deal this week,0.9916098,Panel will recommend whether to approve ‘technical partnership’ with China’s ByteDance,2020-09-14T17:52:16.344163Z,https://www.ft.com/content/0ccd4a25-381f-46a7-a9e6-ee12ecf1aa88
42,Traders switch to FX after central banks numb bond markets,0.99882174,"Interventions made fixed income less attractive for short-term bets, analysts say",2020-09-14T17:52:26.7478243Z,https://www.ft.com/content/f9a90f8f-2ef5-45dc-973f-ed1c5c4dcc08
39,Xbox Series X and S: everything you need to know about the next-gen of Xbox,0.96187454,"Microsoft has officially announced its two next-generation consoles: the Xbox Series X and the Xbox Series S. They’re part of a big next-generation strategy for Microsoft, which also includes subscription services and game streaming.",2020-09-14T18:00:00Z,https://www.theverge.com/21432635/xbox-series-x-s-release-date-news-price-features-specs-hardware-games
